date,sym,price,size,qualifier,extime
2014-02-13,RIO.AX,67.88,1,,15:40:04.499
2014-02-13,RIO.AX,67.88,180,,15:40:10.958
2014-02-13,RIO.AX,67.88,13,,15:40:10.958
2014-02-13,RIO.AX,67.88,185,,15:40:10.958
2014-02-13,RIO.AX,67.87,216,,15:40:10.958
2014-02-13,RIO.AX,67.87,118,,15:40:10.958
2014-02-13,RIO.AX,67.87,40,,15:40:10.958
2014-02-13,RIO.AX,67.87,69,,15:40:10.958
2014-02-13,RIO.AX,67.87,79,,15:40:10.958
2014-02-13,RIO.AX,67.87,97,,15:40:10.958
2014-02-13,RIO.AX,67.87,69,,15:40:10.958
2014-02-13,RIO.AX,67.87,89,,15:40:10.958
2014-02-13,RIO.AX,67.86,4,,15:40:10.958
2014-02-13,RIO.AX,67.86,2,,15:40:10.958
2014-02-13,RIO.AX,67.86,48,,15:40:10.958
2014-02-13,RIO.AX,67.86,69,,15:40:10.989
2014-02-13,RIO.AX,67.86,69,,15:40:10.989
2014-02-13,RIO.AX,67.86,97,,15:40:10.989
2014-02-13,RIO.AX,67.86,33,,15:40:10.989
2014-02-13,RIO.AX,67.86,294,,15:40:10.989
2014-02-13,RIO.AX,67.85,69,,15:40:10.989
2014-02-13,RIO.AX,67.85,69,,15:40:10.989
2014-02-13,RIO.AX,67.85,1,,15:40:10.989
2014-02-13,RIO.AX,67.85,100,,15:40:10.989
2014-02-13,RIO.AX,67.85,2,,15:40:10.989
2014-02-13,RIO.AX,67.85,242,,15:40:11.145
2014-02-13,RIO.AX,67.85,2746,,15:40:11.238
2014-02-13,RIO.AX,67.85,130,,15:40:11.238
2014-02-13,RIO.AX,67.85,35,,15:40:11.238
2014-02-13,RIO.AX,67.85,100,,15:40:11.238
2014-02-13,RIO.AX,67.85,128,,15:40:11.238
2014-02-13,RIO.AX,67.86,69,,15:40:11.238
2014-02-13,RIO.AX,67.86,41,,15:40:11.238
2014-02-13,RIO.AX,67.85,69,,15:40:11.332
2014-02-13,RIO.AX,67.85,31,,15:40:11.332
2014-02-13,RIO.AX,67.84,40,,15:40:11.363
2014-02-13,RIO.AX,67.84,68,,15:40:11.363
2014-02-13,RIO.AX,67.84,68,,15:40:11.363
